LoanID,Fraud,Loan Provider,Gender,OwnsCar,OwnsProperty,NumberOfChildren,AnnualIncome,TotalCredit,MonthlyPayments,SecurityDeposit,LatePaymentAmount,Occupation,Education,RiskLevel,MartialStatus,HouseType,NumberOfAccounts,CreditScore,CustomerAge,IncomeTaxDefault,NumberOfBankAccounts,ApplicationDay,HourOfDayApplied,ExperianRating
331862,0,Cash loans,F,1,0,0,63000.0,288562.5,31207.5,261000.0,53093,Commercial associate,Higher education,LowRisk,Married,With parents,12,607,44,0,41,THURSDAY,14,576.6
354199,0,Cash loans,M,0,0,0,157500.0,284400.0,19134.0,225000.0,48114,Commercial associate,Lower secondary,,Married,House / apartment,22,35,33,0,17,TUESDAY,9,119.0
266756,0,Cash loans,F,0,1,0,163800.0,755190.0,36459.0,675000.0,64067,Pensioner,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,22,111,60,0,44,TUESDAY,12,179.8
285402,0,Cash loans,F,1,1,0,135000.0,931500.0,27364.5,931500.0,16851,Commercial associate,Secondary / secondary special,,Married,House / apartment,13,618,46,0,21,MONDAY,10,585.4
436590,0,Loans Now,F,0,1,0,139500.0,180000.0,9000.0,180000.0,22538,State servant,Higher education,LowRisk,Single / not married,House / apartment,10,153,72,0,37,FRIDAY,18,213.4
125480,0,Cash loans,M,1,1,0,202500.0,521280.0,27423.0,450000.0,3883,Working,Secondary / secondary special,Risk,Civil marriage,House / apartment,13,794,67,0,25,WEDNESDAY,6,726.2
360768,0,Cash loans,F,0,1,0,67500.0,270000.0,9697.5,270000.0,4391,State servant,Secondary / secondary special,Risk,Married,House / apartment,2,49,34,0,36,MONDAY,15,130.2
294022,0,Cash loans,F,0,0,0,225000.0,781920.0,28084.5,675000.0,39090,Pensioner,Secondary / secondary special,,Separated,House / apartment,0,420,59,0,2,MONDAY,10,427.0
307030,0,Cash loans,M,1,1,0,180000.0,328500.0,35509.5,328500.0,43476,Working,Secondary / secondary special,,Married,House / apartment,18,661,64,1,23,TUESDAY,11,619.8
413442,0,Cash loans,M,1,1,0,135000.0,675000.0,32602.5,675000.0,29640,Pensioner,Secondary / secondary special,HighRisk,Married,House / apartment,15,104,64,0,6,TUESDAY,9,174.2
262419,0,Cash loans,F,0,1,0,270000.0,808650.0,26217.0,675000.0,24404,Commercial associate,Higher education,Risk,Separated,House / apartment,11,645,32,0,34,MONDAY,15,607.0
149103,0,Cash loans,F,0,0,0,270000.0,1282500.0,41373.0,1282500.0,73123,Commercial associate,Lower secondary,Risk,Married,House / apartment,18,500,55,0,5,THURSDAY,13,491.0
252204,0,Cash loans,F,1,0,0,382500.0,594000.0,17365.5,594000.0,26947,Working,Secondary / secondary special,Risk,Married,House / apartment,4,50,68,0,8,MONDAY,14,131.0
299813,0,Cash loans,F,0,1,0,45000.0,152820.0,10080.0,135000.0,40384,Pensioner,Lower secondary,Risk,Widow,House / apartment,3,694,64,0,38,TUESDAY,11,646.2
374524,0,Cash loans,F,1,1,1,157500.0,738567.0,23953.5,616500.0,31326,Working,Secondary / secondary special,Risk,Married,House / apartment,6,768,33,0,3,MONDAY,13,705.4
209518,1,Cash loans,F,0,0,0,81000.0,284400.0,13963.5,225000.0,54119,Working,Higher education,LowRisk,Married,House / apartment,18,46,48,1,11,SATURDAY,13,127.8
312219,0,Cash loans,M,0,1,0,225000.0,1125000.0,33025.5,1125000.0,64541,Working,Secondary / secondary special,LowRisk,Married,House / apartment,21,381,40,0,26,WEDNESDAY,13,395.8
456179,0,Cash loans,F,0,1,0,126000.0,254700.0,24939.0,225000.0,54054,Pensioner,Secondary / secondary special,,Married,House / apartment,17,759,32,0,12,MONDAY,8,698.2
276561,0,Cash loans,M,0,1,1,292500.0,414792.0,25195.5,315000.0,11287,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,16,402,73,1,39,MONDAY,17,412.6
240543,0,Cash loans,F,1,1,1,225000.0,1024740.0,52452.0,900000.0,33510,Commercial associate,Higher education,Risk,Married,House / apartment,11,701,32,0,5,THURSDAY,14,651.8
105342,0,Cash loans,M,0,0,2,135000.0,544491.0,17563.5,454500.0,59045,Commercial associate,Secondary / secondary special,,Married,House / apartment,11,603,57,0,15,FRIDAY,15,573.4
148664,0,Cash loans,F,0,0,1,90000.0,604152.0,25596.0,540000.0,4364,Working,Secondary / secondary special,,Married,House / apartment,7,554,41,0,36,SATURDAY,19,534.2
176463,0,Cash loans,F,0,0,0,103500.0,225000.0,25578.0,225000.0,18406,State servant,Secondary / secondary special,,Civil marriage,House / apartment,22,609,39,0,7,WEDNESDAY,14,578.2
421231,0,Cash loans,M,0,0,0,90000.0,114682.5,12172.5,99000.0,40742,Working,Secondary / secondary special,,Single / not married,Rented apartment,16,576,58,0,36,FRIDAY,15,551.8
340661,0,Cash loans,M,0,1,0,540000.0,312768.0,13905.0,270000.0,28764,Pensioner,Higher education,Risk,Married,House / apartment,5,185,68,0,16,SUNDAY,12,239.0
304084,0,Loans Now,F,0,0,1,90000.0,270000.0,13500.0,270000.0,49564,State servant,Secondary / secondary special,,Married,House / apartment,13,375,66,0,10,FRIDAY,15,391.0
368261,1,Loans Now,M,0,1,0,121500.0,270000.0,13500.0,270000.0,50551,Working,Secondary / secondary special,HighRisk,Single / not married,House / apartment,15,113,47,0,9,TUESDAY,12,181.4
227077,0,Cash loans,M,1,1,0,157500.0,787131.0,26145.0,679500.0,59974,Working,Secondary / secondary special,LowRisk,Married,House / apartment,2,98,69,1,36,FRIDAY,15,169.4
159731,0,Cash loans,F,0,1,0,51750.0,916470.0,26928.0,765000.0,17132,Pensioner,Higher education,,Married,House / apartment,6,391,73,0,15,WEDNESDAY,14,403.8
151661,0,Cash loans,F,1,0,0,135000.0,265851.0,13702.5,229500.0,68849,State servant,Secondary / secondary special,HighRisk,Married,House / apartment,13,410,66,0,41,FRIDAY,17,419.0
285789,0,Cash loans,M,0,1,0,67500.0,81549.0,8194.5,76500.0,79966,Pensioner,Secondary / secondary special,HighRisk,Married,House / apartment,5,431,62,0,26,FRIDAY,9,435.8
134647,0,Cash loans,M,1,0,0,135000.0,288873.0,18589.5,238500.0,41953,Commercial associate,Secondary / secondary special,LowRisk,Married,House / apartment,6,413,31,1,21,MONDAY,14,421.4
397833,0,Cash loans,F,0,0,0,67500.0,134775.0,9508.5,112500.0,47651,Pensioner,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,20,263,64,0,13,THURSDAY,10,301.4
103282,0,Cash loans,F,1,1,0,306000.0,630000.0,25114.5,630000.0,7433,Working,Secondary / secondary special,,Single / not married,House / apartment,9,360,48,0,24,THURSDAY,13,379.0
233290,0,Cash loans,F,1,1,1,360000.0,2013840.0,55507.5,1800000.0,26837,Working,Higher education,,Civil marriage,House / apartment,22,125,51,0,39,MONDAY,3,191.0
278158,0,Cash loans,M,1,0,0,180000.0,263686.5,26208.0,238500.0,17667,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,15,562,60,0,37,SUNDAY,11,540.6
258582,0,Cash loans,F,0,0,2,112500.0,270000.0,7555.5,270000.0,32499,Working,Higher education,HighRisk,Separated,House / apartment,21,706,42,0,4,WEDNESDAY,19,655.8
407870,0,Cash loans,F,1,1,2,135000.0,161730.0,11632.5,135000.0,61004,Working,Secondary / secondary special,LowRisk,Married,House / apartment,7,104,57,0,26,TUESDAY,9,174.2
442248,0,Cash loans,M,1,1,0,47250.0,134775.0,5836.5,112500.0,42765,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,22,87,30,0,14,FRIDAY,9,160.6
297223,0,Cash loans,M,1,1,0,90000.0,562500.0,18274.5,562500.0,48207,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,8,760,43,0,37,THURSDAY,13,699.0
352999,1,Cash loans,M,1,1,2,135000.0,195543.0,14359.5,148500.0,62873,Working,Secondary / secondary special,Risk,Married,House / apartment,11,223,43,0,13,SUNDAY,11,269.4
177254,0,Cash loans,F,0,1,0,90000.0,545040.0,26640.0,450000.0,37128,Pensioner,Secondary / secondary special,Risk,Single / not married,House / apartment,13,199,36,0,9,FRIDAY,13,250.2
134440,0,Cash loans,F,0,1,0,157500.0,652500.0,25321.5,652500.0,41734,Pensioner,Higher education,Risk,Separated,House / apartment,1,421,34,0,17,TUESDAY,10,427.8
416054,0,Cash loans,F,0,1,0,81000.0,254700.0,14350.5,225000.0,53837,Pensioner,Secondary / secondary special,,Married,House / apartment,13,644,31,1,30,MONDAY,8,606.2
455659,0,Cash loans,F,0,1,0,135000.0,417024.0,20191.5,360000.0,32822,Pensioner,Secondary / secondary special,LowRisk,Widow,House / apartment,20,155,51,0,26,FRIDAY,14,215.0
302986,0,Loans Now,F,0,1,0,54000.0,135000.0,6750.0,135000.0,58430,Pensioner,Secondary / secondary special,,Widow,Municipal apartment,9,661,56,1,3,THURSDAY,9,619.8
380093,0,Cash loans,F,0,0,0,180000.0,428854.5,20988.0,301500.0,55038,Working,Secondary / secondary special,,Single / not married,With parents,20,652,39,0,33,TUESDAY,9,612.6
245548,0,Cash loans,F,1,1,0,135000.0,719946.0,28300.5,643500.0,53614,Pensioner,Higher education,Risk,Widow,House / apartment,8,737,74,0,25,SATURDAY,10,680.6
254251,0,Cash loans,M,1,0,0,202500.0,755190.0,30078.0,675000.0,59483,Working,Secondary / secondary special,Risk,Married,House / apartment,6,379,57,0,8,MONDAY,14,394.2
100717,1,Cash loans,M,0,1,0,135000.0,284400.0,13833.0,225000.0,40237,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,11,255,46,0,42,FRIDAY,10,295.0
239281,0,Cash loans,F,0,1,0,193500.0,601470.0,29065.5,450000.0,64838,Pensioner,Secondary / secondary special,Risk,Single / not married,House / apartment,20,444,69,0,6,WEDNESDAY,11,446.2
120153,0,Loans Now,F,0,1,1,180000.0,360000.0,18000.0,360000.0,58997,Commercial associate,Higher education,,Single / not married,House / apartment,0,407,31,1,43,MONDAY,12,416.6
128929,1,Cash loans,F,0,1,0,90000.0,291384.0,23008.5,270000.0,50533,Working,Secondary / secondary special,Risk,Married,House / apartment,23,83,28,0,23,SUNDAY,11,157.4
254233,1,Cash loans,M,1,1,0,202500.0,582804.0,28165.5,463500.0,67347,Pensioner,Secondary / secondary special,LowRisk,Married,Municipal apartment,18,161,45,1,8,MONDAY,7,219.8
321900,0,Cash loans,M,1,1,0,157500.0,808650.0,23773.5,675000.0,39066,Working,Secondary / secondary special,,Married,House / apartment,8,174,30,0,35,TUESDAY,8,230.2
371474,0,Loans Now,M,0,0,0,157500.0,202500.0,10125.0,202500.0,5282,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,21,94,44,0,43,MONDAY,7,166.2
263338,0,Cash loans,M,1,1,0,180000.0,225000.0,17905.5,225000.0,5642,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,10,142,41,0,5,WEDNESDAY,13,204.6
268295,0,Loans Now,M,0,0,0,90000.0,202500.0,10125.0,,42324,Working,Secondary / secondary special,,Married,House / apartment,21,533,64,0,7,SUNDAY,13,517.4
319702,1,Cash loans,M,0,0,0,135000.0,385164.0,17095.5,292500.0,57594,Working,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,14,201,53,1,44,FRIDAY,16,251.8
416990,0,Cash loans,M,1,0,1,243000.0,808650.0,26086.5,675000.0,39852,Working,Higher education,HighRisk,Married,House / apartment,15,174,66,0,44,FRIDAY,6,230.2
315398,0,Cash loans,F,1,1,0,225000.0,1347466.5,69898.5,1273500.0,28048,Pensioner,Higher education,Risk,Civil marriage,House / apartment,3,256,61,0,16,SATURDAY,17,295.8
348376,0,Cash loans,F,0,1,0,121500.0,161730.0,12645.0,135000.0,4894,Working,Secondary / secondary special,,Married,House / apartment,18,139,33,0,44,FRIDAY,10,202.2
301744,0,Cash loans,F,0,1,1,180000.0,749506.5,27049.5,558000.0,20514,Working,Secondary / secondary special,Risk,Widow,House / apartment,5,694,32,0,18,THURSDAY,13,646.2
424648,0,Cash loans,M,1,1,0,247500.0,667678.5,28417.5,531000.0,71766,Working,Secondary / secondary special,LowRisk,Married,House / apartment,6,246,70,0,22,SATURDAY,10,287.8
424973,0,Cash loans,F,0,1,0,180000.0,1190340.0,63549.0,1125000.0,62927,Pensioner,Secondary / secondary special,,Married,House / apartment,10,252,60,0,40,THURSDAY,11,292.6
104340,0,Loans Now,M,0,0,0,414000.0,450000.0,22500.0,450000.0,46845,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,13,290,63,1,42,SUNDAY,12,323.0
429237,0,Cash loans,F,0,1,2,157500.0,1691626.5,46647.0,1512000.0,46337,Working,Secondary / secondary special,Risk,Married,Office apartment,19,418,40,1,37,FRIDAY,8,425.4
432198,0,Cash loans,M,1,1,0,90000.0,679500.0,22050.0,679500.0,52811,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,13,743,72,0,12,MONDAY,16,685.4
101000,0,Cash loans,M,0,1,1,157500.0,592560.0,32274.0,450000.0,4257,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,5,438,43,0,1,THURSDAY,13,441.4
448321,0,Cash loans,F,0,1,0,180000.0,254700.0,27558.0,225000.0,1786,Commercial associate,Incomplete higher,,Single / not married,House / apartment,18,660,38,0,4,MONDAY,5,619.0
180111,0,Cash loans,F,1,0,1,157500.0,728460.0,57555.0,675000.0,17187,Working,Secondary / secondary special,HighRisk,Married,House / apartment,8,10,66,0,36,SATURDAY,13,99.0
289509,0,Cash loans,F,0,1,0,112500.0,659610.0,21406.5,472500.0,26340,Working,Secondary / secondary special,Risk,Married,House / apartment,12,67,48,0,16,THURSDAY,10,144.6
178959,0,Cash loans,F,0,1,0,112500.0,86598.0,8563.5,76500.0,66386,Pensioner,Secondary / secondary special,,Civil marriage,House / apartment,4,168,55,0,17,SATURDAY,8,225.4
319971,0,Cash loans,F,0,1,1,211500.0,787500.0,25533.0,787500.0,9484,Working,Secondary / secondary special,HighRisk,Married,House / apartment,16,547,68,0,6,TUESDAY,10,528.6
346218,0,Cash loans,M,1,0,0,225000.0,521280.0,31630.5,450000.0,23719,Working,Secondary / secondary special,HighRisk,Married,House / apartment,19,188,45,0,22,THURSDAY,12,241.4
347027,0,Cash loans,M,1,0,0,315000.0,1575000.0,58369.5,1575000.0,49718,Working,Higher education,HighRisk,Married,House / apartment,4,115,68,0,44,WEDNESDAY,9,183.0
418880,0,Cash loans,F,0,1,0,202500.0,521280.0,22216.5,450000.0,27317,Pensioner,Secondary / secondary special,,Married,House / apartment,7,395,64,0,6,WEDNESDAY,11,407.0
407706,0,Cash loans,F,0,0,1,360000.0,2013840.0,53253.0,1800000.0,75391,Working,Secondary / secondary special,LowRisk,Married,House / apartment,8,217,46,0,33,SATURDAY,13,264.6
188398,0,Cash loans,M,0,1,1,225000.0,418500.0,19638.0,418500.0,56633,Working,Secondary / secondary special,,Married,House / apartment,7,682,73,0,11,SATURDAY,10,636.6
361017,0,Cash loans,M,1,0,0,216000.0,225000.0,12694.5,225000.0,10946,Pensioner,Secondary / secondary special,HighRisk,Widow,House / apartment,9,568,55,0,31,SATURDAY,9,545.4
283656,0,Cash loans,F,1,1,0,135000.0,808650.0,26086.5,675000.0,62876,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,9,159,50,0,9,THURSDAY,9,218.2
442022,1,Cash loans,F,0,0,0,135000.0,254700.0,14220.0,225000.0,64649,Working,Higher education,Risk,Married,House / apartment,14,106,26,1,24,SATURDAY,12,175.8
134754,0,Cash loans,M,0,1,0,135000.0,312768.0,19264.5,270000.0,18509,Working,Secondary / secondary special,LowRisk,Single / not married,House / apartment,11,526,67,0,7,THURSDAY,13,511.8
294344,0,Cash loans,F,0,1,0,157500.0,143910.0,15399.0,135000.0,21943,Pensioner,Secondary / secondary special,,Separated,House / apartment,1,477,68,0,41,THURSDAY,13,472.6
267335,0,Cash loans,F,0,1,1,112500.0,134775.0,10935.0,112500.0,48653,Working,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,7,396,75,0,5,FRIDAY,10,407.8
425278,0,Cash loans,F,1,1,0,180000.0,846387.0,24876.0,706500.0,50570,Pensioner,Secondary / secondary special,,Married,House / apartment,6,291,36,0,1,FRIDAY,7,323.8
406900,0,Cash loans,F,0,1,2,157500.0,540000.0,27738.0,540000.0,43000,State servant,Incomplete higher,,Widow,House / apartment,7,206,73,0,27,TUESDAY,12,255.8
361562,1,Cash loans,F,1,1,0,225000.0,521280.0,31630.5,450000.0,70625,Working,Secondary / secondary special,LowRisk,Married,House / apartment,13,211,26,1,21,THURSDAY,14,259.8
153381,1,Cash loans,F,1,1,0,99000.0,675000.0,21775.5,675000.0,49831,Working,Secondary / secondary special,Risk,Married,House / apartment,13,21,43,1,19,SATURDAY,8,107.8
434887,0,Cash loans,F,0,1,0,180000.0,435276.0,34519.5,355500.0,55790,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,20,756,42,0,35,WEDNESDAY,6,695.8
255488,0,Cash loans,M,1,0,1,202500.0,1006920.0,37444.5,900000.0,64981,Working,Secondary / secondary special,,Married,With parents,15,363,33,0,39,THURSDAY,10,381.4
161008,0,Cash loans,F,0,0,0,180000.0,351000.0,13230.0,351000.0,61421,Working,Higher education,,Married,House / apartment,20,497,74,0,23,TUESDAY,18,488.6
219348,0,Loans Now,F,1,1,0,202500.0,247500.0,12375.0,247500.0,55916,Working,Secondary / secondary special,Risk,Married,House / apartment,15,104,46,0,10,TUESDAY,11,174.2
